@relation rationale
@attribute sentence string
@attribute classification string
@data
' This_DT bug_NN was_VBD fixed_VBN in_IN the_DT package_NN linux_NN -_HYPH gke_NN -_HYPH 4.4.0_CD -_HYPH 1014.14_CD \n_ ---------------_NNP \n_ linux_NN -_HYPH gke_NN (_-LRB- 4.4.0_CD -_SYM 1014.14_CD )_-RRB- xenial_JJ ;_: urgency_NN =_SYM low_JJ \n\xa0\xa0__SP *_NFP linux_NN -_HYPH gke_NN :_: 4.4.0_CD -_HYPH 1014.14_CD -proposed_: tracker_NN (_-LRB- LP_NN :_: #_$ 1691186_CD )_-RRB- \n\xa0\xa0__SP *_NFP linux_JJ xenial_JJ derivatives_NNS fail_VBP to_TO build_VB (_-LRB- LP_NN :_: #_$ 1691814_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Packaging_NN ]_-RRB- Set_VB do_tools_common_NNP in_IN common_JJ vars_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Packaging_NN ]_-RRB- Put_JJ hooks.mk_NNP file_NN in_IN the_DT right_JJ place_NN \n\xa0\xa0__SP *_NFP  _ linux_NN -_HYPH aws_NN /_SYM linux_NN -_HYPH gke_NN incorrectly_RB producing_VBG an_DT empty_JJ linux-*-source_NN package-_NN *_NFP \n\xa0\xa0\xa0\xa0__SP (_-LRB- LP_NNP :_: #_$ 1690183_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Packaging_NN ]_-RRB- drop_NN linux_NN -_HYPH gke_NN -_HYPH source-_NN *_NFP package_NN \n\xa0\xa0__SP *_NFP linux_NN -_HYPH aws_NN /_SYM linux_NN -_HYPH gke_NN incorrectly_RB producing_VBG and_CC using_VBG linux-*-tools-_NNS \n\xa0\xa0\xa0\xa0__SP common_JJ /_SYM linux-*-cloud_NN -_HYPH tools_NNS -_HYPH common_JJ (_-LRB- LP_NN :_: #_$ 1688579_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Config_NNP ]_-RRB- linux_NN -_HYPH tools-_NN *_NFP linux_JJ -_HYPH cloud_NN -_HYPH tools-_NN *_NFP share_NN -common_NN packages_NNS with_IN linux_NN \n\xa0\xa0__SP [_-LRB- Ubuntu_NN :_: 4.4.0_CD -_HYPH 79.100_CD ]_-RRB- \n\xa0\xa0__SP *_NFP linux_NN :_: 4.4.0_CD -_HYPH 79.100_CD -proposed_: tracker_NN (_-LRB- LP_NN :_: #_$ 1691180_CD )_-RRB- \n\xa0\xa0__SP *_NFP linux_NN -_HYPH aws_NN /_SYM linux_NN -_HYPH gke_NN incorrectly_RB producing_VBG and_CC using_VBG linux-*-tools-_NNS \n\xa0\xa0\xa0\xa0__SP common_JJ /_SYM linux-*-cloud_NN -_HYPH tools_NNS -_HYPH common_JJ (_-LRB- LP_NN :_: #_$ 1688579_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Config_NNP ]_-RRB- make_VB linux_NN -_HYPH tools_NNS -_HYPH common_JJ and_CC linux_JJ -_HYPH cloud_NN -_HYPH tools_NNS -_HYPH common_JJ provide_NN linux-_NN \n\xa0\xa0\xa0\xa0\xa0\xa0__SP gke_NN versions_NNS \n\xa0\xa0\xa0\xa0__SP -_: [_-LRB- Config_NNP ]_-RRB- make_VB linux_NN -_HYPH tools_NNS -_HYPH common_JJ and_CC linux_JJ -_HYPH cloud_NN -_HYPH tools_NNS -_HYPH common_JJ provide_NN linux-_NN \n\xa0\xa0\xa0\xa0\xa0\xa0__SP aws_IN versions_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH [_-LRB- Packaging_NN ]_-RRB- prevent_NN linux-*-tools_NNS -_HYPH common_JJ from_IN being_VBG produced_VBN from_IN non_AFX linux_NN \n\xa0\xa0\xa0\xa0\xa0\xa0__SP packages_NNS \n\xa0\xa0__SP *_NFP CVE-2017_NNP -_HYPH 0605_CD \n\xa0\xa0\xa0\xa0__SP -_HYPH tracing_VBG :_: Use_NNP strlcpy_NN (_-LRB- )_-RRB- instead_RB of_IN strcpy_NN (_-LRB- )_-RRB- in_IN __NN __NN trace_find_cmdline_NN (_-LRB- )_-RRB- \n\xa0\xa0__SP *_NFP i915-bpo_JJ crashes_NNS on_IN external_JJ hdmi_NN input_NN (_-LRB- LP_NN :_: #_$ 1580272_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH SAUCE_NNP :_: i915_bpo_NN :_: Silence_NN the_DT warning_NN about_IN watermark_NN entries_NNS not_RB changing_VBG \n\xa0\xa0__SP *_NFP Kernel_JJ panics_NNS on_IN Xenial_NNP when_WRB using_VBG cgroups_NNS and_CC strict_JJ CFS_NNP limits_NNS \n\xa0\xa0\xa0\xa0__SP (_-LRB- LP_NNP :_: #_$ 1687512_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH sched_JJ /_SYM fair_JJ :_: Initialize_NNP throttle_count_NN for_IN new_JJ task_NN -_HYPH groups_NNS lazily_RB \n\xa0\xa0\xa0\xa0__SP -_HYPH sched_JJ /_SYM fair_NN :_: Do_VB not_RB announce_VB throttled_VBN next_JJ buddy_NN in_IN dequeue_task_fair_NN (_-LRB- )_-RRB- \n\xa0\xa0__SP *_NFP bonding_VBG -_HYPH mlx5_FW -_HYPH speed_NN changed_VBD to_IN 0_CD after_IN changing_VBG ring_NN size_NN  _ (_-LRB- LP_NNP :_: #_$ 1687877_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH bonding_NN :_: allow_VB notifications_NNS for_IN bond_set_slave_link_state_NN \n\xa0\xa0__SP *_NFP Xenial_JJ update_NN to_IN 4.4.67_CD stable_JJ release_NN (_-LRB- LP_NN :_: #_$ 1689296_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH timerfd_NN :_: Protect_VB the_DT might_MD cancel_VB mechanism_NN proper_JJ \n\xa0\xa0\xa0\xa0__SP -_HYPH Handle_NNP mismatched_VBD open_JJ calls_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH ASoC_NNP :_: intel_NN :_: Fix_VB PM_NN and_CC non_AFX -_HYPH atomic_JJ crash_NN in_IN bytcr_NN drivers_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH ALSA_NNP :_: ppc_NN /_SYM awacs_NN :_: shut_VB up_RP maybe_RB -_HYPH uninitialized_JJ warning_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH drbd_NNP :_: avoid_VB redefinition_NN of_IN BITS_PER_PAGE_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH mtd_NNP :_: avoid_VB stack_NN overflow_NN in_IN MTD_NNP CFI_NNP code_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH net_NN :_: tg3_VB :_: avoid_VB uninitialized_JJ variable_JJ warning_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH netlink_NNP :_: Allow_VB direct_JJ reclaim_NN for_IN fallback_NN allocation_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH IB_NNP /_SYM qib_NN :_: rename_NN BITS_PER_PAGE_NN to_TO RVT_BITS_PER_PAGE_VB \n\xa0\xa0\xa0\xa0__SP -_HYPH IB_NNP /_SYM ehca_NN :_: fix_VB maybe_RB -_HYPH uninitialized_JJ warnings_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH ext4_NNP :_: require_VB encryption_NN feature_NN for_IN EXT4_IOC_SET_ENCRYPTION_POLICY_CD \n\xa0\xa0\xa0\xa0__SP -_HYPH ext4_NNP crypto_NN :_: revalidate_VB dentry_NN after_IN adding_VBG or_CC removing_VBG the_DT key_JJ \n\xa0\xa0\xa0\xa0__SP -_HYPH ext4_NNP crypto_NN :_: use_VB dget_parent_NN (_-LRB- )_-RRB- in_IN ext4_d_revalidate_NNP (_-LRB- )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH ext4/fscrypto_NNP :_: avoid_VB RCU_NN lookup_NN in_IN d_revalidate_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH nfsd4_NNP :_: minor_JJ NFSv2/v3_NNP write_VB decoding_JJ cleanup_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH nfsd_NN :_: stricter_JJR decoding_NN of_IN write_VB -_HYPH like_JJ NFSv2/v3_NNP ops_NNS \n\xa0\xa0\xa0\xa0__SP -_HYPH dm_NNP ioctl_NN :_: prevent_VB stack_NN leak_NN in_IN dm_DT ioctl_JJ call_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH Linux_NNP 4.4.67_CD \n\xa0\xa0__SP *_NFP Precision_NNP Rack_NNP failed_VBD to_TO resume_VB from_IN S4_NNP (_-LRB- LP_NNP :_: #_$ 1686061_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH x86_NN /_SYM hibernate_NN :_: Use_VB hlt_play_dead_NN (_-LRB- )_-RRB- when_WRB resuming_VBG from_IN hibernation_NN \n\xa0\xa0\xa0\xa0__SP -_HYPH x86/boot_NNP :_: Split_VB out_RP kernel_ident_mapping_init_NN (_-LRB- )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH x86/power/64_NNPS :_: Always_RB create_VB temporary_JJ identity_NN mapping_NN correctly_RB \n\xa0\xa0__SP *_NFP Xenial_JJ update_NN to_IN 4.4.66_CD stable_JJ release_NN (_-LRB- LP_NN :_: #_$ 1688505_CD )_-RRB- \n\xa0\xa0\xa0\xa0__SP -_HYPH f2fs_NNP :_: do_VBP more_JJR int_NN ..._.','relevant'
' This_DT bug_NN is_VBZ awaiting_VBG verification_NN that_IN the_DT kernel_NN in_IN -proposed_: solves_NNS the_DT problem_NN ._.','relevant'
' Please_UH test_VB the_DT kernel_NN and_CC update_VB this_DT bug_NN with_IN the_DT results_NNS ._.','irrelevant'
" If_IN the_DT problem_NN is_VBZ solved_VBN ,_, change_VB the_DT tag_NN '_POS verification_NN -_HYPH needed_VBN -_HYPH xenial_NN '_'' to_IN '_'' verification_NN -_HYPH done_VBN -_HYPH xenial_NN '_'' ._.",'irrelevant'
" If_IN the_DT problem_NN still_RB exists_VBZ ,_, change_VB the_DT tag_NN '_POS verification_NN -_HYPH needed_VBN -_HYPH xenial_NN '_'' to_IN '_'' verification_NN -_HYPH failed_VBN -_HYPH xenial_NN '_'' ._.",'irrelevant'
' If_IN verification_NN is_VBZ not_RB done_VBN by_IN 5_CD working_VBG days_NNS from_IN today_NN ,_, this_DT fix_NN will_MD be_VB dropped_VBN from_IN the_DT source_NN code_NN ,_, and_CC this_DT bug_NN will_MD be_VB closed_VBN ._.','irrelevant'
' See_VB https://wiki.ubuntu.com/Testing/EnableProposed_VBN for_IN documentation_NN how_WRB to_TO enable_VB and_CC use_VB -proposed_VBN ._.','irrelevant'
' Thank_VBP you_PRP !_.','irrelevant'
' Issue_NNP is_VBZ now_RB fixed_VBN :_: \n_ $_$ sudo_JJ apt_JJ -_HYPH get_VB install_NN linux_NN -_HYPH tools_NNS -_HYPH generic_JJ \n_ [_-LRB- ..._NFP ]_-RRB- \n_ $_$ sudo_JJ apt_JJ -_HYPH get_VB install_NN linux_NN -_HYPH tools_NNS -_HYPH gke_NN \n_ Reading_NN package_NN lists_NNS ..._.','relevant'
' Done_NNP \n_ Building_NNP dependency_NN tree_NN \n_ Reading_NNP state_NN information_NN ..._.','irrelevant'
' Done_NNP \n_ The_DT following_VBG additional_JJ packages_NNS will_MD be_VB installed_VBN :_: \n\xa0\xa0__SP linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD \n_ The_DT following_JJ NEW_JJ packages_NNS will_MD be_VB installed_VBN :_: \n\xa0\xa0__SP linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD linux_NN -_HYPH tools_NNS -_HYPH gke_NN \n_ 0_CD upgraded_VBN ,_, 3_CD newly_RB installed_VBN ,_, 0_NFP to_TO remove_VB and_CC 11_CD not_RB upgraded_VBN ._.','irrelevant'
' Need_VB to_TO get_VB 703_CD kB_NNP of_IN archives_NNS ._.','irrelevant'
' After_IN this_DT operation_NN ,_, 2212_CD kB_NN of_IN additional_JJ disk_NN space_NN will_MD be_VB used_VBN ._.','irrelevant'
' Do_VBP you_PRP want_VB to_TO continue_VB ?_.','irrelevant'
' [_-LRB- Y_NN /_SYM n_NNP ]_-RRB- \n_ Get:1_NNS http://de.archive.ubuntu.com/ubuntu_NNP xenial_NN -_HYPH proposed_VBN /_SYM universe_NN amd64_NNP linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD amd64_NN 4.4.0_CD -_SYM 1014.14_CD [_-LRB- 698_CD kB_NNP ]_-RRB- \n_ Get:2_NNP http://de.archive.ubuntu.com/ubuntu_NNP xenial_NN -_HYPH proposed_VBN /_SYM universe_NN amd64_NNP linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD amd64_NNP 4.4.0_CD -_SYM 1014.14_CD [_-LRB- 2604_CD B_NNP ]_-RRB- \n_ Get:3_NNP http://de.archive.ubuntu.com/ubuntu_NN xenial_NN -_HYPH proposed_VBN /_SYM universe_NN amd64_NNP linux_NN -_HYPH tools_NNS -_HYPH gke_NN amd64_NNP 4.4.0.1014.16_CD [_-LRB- 2370_CD B_NNP ]_-RRB- \n_ Fetched_NNP 703_CD kB_NNP in_IN 0s_CD (_-LRB- 1828_CD kB_NNP /_SYM s_NN )_-RRB- \n_ Selecting_VBG previously_RB unselected_JJ package_NN linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD ._.','irrelevant'
' (_-LRB- Reading_NN database_NN ..._: 70265_CD files_NNS and_CC directories_NNS currently_RB installed_VBN ._. )_-RRB-','irrelevant'
' Preparing_VBG to_IN unpack_VB ..._NFP /linux_SYM -_: gke_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014_4.4.0_CD -_HYPH 1014.14_amd64.deb_CD ..._: \n_ Unpacking_NNP linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD (_-LRB- 4.4.0_CD -_SYM 1014.14_CD )_-RRB- ..._.','irrelevant'
' Selecting_VBG previously_RB unselected_JJ package_NN linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD ._.','irrelevant'
' Preparing_VBG to_IN unpack_VB ..._NFP /linux_SYM -_: tools-4.4.0_JJ -_HYPH 1014-gke_4.4.0_CD -_HYPH 1014.14_amd64.deb_CD ..._: \n_ Unpacking_NNP linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD (_-LRB- 4.4.0_CD -_SYM 1014.14_CD )_-RRB- ..._.','irrelevant'
' Selecting_VBG previously_RB unselected_JJ package_NN linux_NN -_HYPH tools_NNS -_HYPH gke_NN ._.','irrelevant'
' Preparing_VBG to_IN unpack_VB ..._NFP /linux_SYM -_HYPH tools_NNS -_HYPH gke_4.4.0.1014.16_amd64.deb_NNP ..._: \n_ Unpacking_NNP linux_NN -_HYPH tools_NNS -_HYPH gke_NN (_-LRB- 4.4.0.1014.16_NN )_-RRB- ..._.','irrelevant'
' Setting_VBG up_RP linux_NN -_HYPH gke_NN -_HYPH tools-4.4.0_NN -_HYPH 1014_CD (_-LRB- 4.4.0_CD -_SYM 1014.14_CD )_-RRB- ..._.','irrelevant'
' Setting_VBG up_RP linux_NN -_HYPH tools-4.4.0_JJ -_HYPH 1014-gke_CD (_-LRB- 4.4.0_CD -_SYM 1014.14_CD )_-RRB- ..._.','irrelevant'
' Setting_VBG up_RP linux_NN -_HYPH tools_NNS -_HYPH gke_NN (_-LRB- 4.4.0.1014.16_NN )_-RRB- ..._: \n_ $_$ sudo_JJ apt_JJ -_HYPH get_VB install_NN linux_NN -_HYPH tools_NNS -_HYPH aws_NNP \n_ Reading_NNP package_NN lists_NNS ..._.','irrelevant'
' Done_NNP \n_ Building_NNP dependency_NN tree_NN \n_ Reading_NNP state_NN information_NN ..._.','irrelevant'
' Done_NNP \n_ The_DT following_VBG additional_JJ packages_NNS will_MD be_VB installed_VBN :_: \n\xa0\xa0__SP linux_NN -_HYPH aws_IN -_HYPH tools-4.4.0_NNS -_HYPH 1018_CD linux_NN -_HYPH tools-4.4.0_NN -_HYPH 1018-aws_CD \n_ The_DT following_JJ NEW_JJ packages_NNS will_MD be_VB installed_VBN :_: \n\xa0\xa0__SP linux_NN -_HYPH aws_IN -_HYPH tools-4.4.0_NNS -_HYPH 1018_CD linux_NN -_HYPH tools-4.4.0_NN -_HYPH 1018-aws_CD linux_NN -_HYPH tools_NNS -_HYPH aws_NNP \n_ 0_CD upgraded_VBN ,_, 3_CD newly_RB installed_VBN ,_, 0_NFP to_TO remove_VB and_CC 11_CD not_RB upgraded_VBN ._.','irrelevant'
' Need_VB to_TO get_VB 703_CD kB_NNP of_IN archives_NNS ._.','irrelevant'
' After_IN this_DT operation_NN ,_, 2232_CD kB_NNP of_IN additional_JJ disk_NN space_NN will_MD be_VB used_VBN ._.','irrelevant'
' Do_VBP you_PRP want_VB to_TO continue_VB ?_.','irrelevant'
' [_-LRB- Y_NN /_SYM n_NNP ]_-RRB- \n_ Get:1_NNS http://de.archive.ubuntu.com/ubuntu_NNP xenial_NN -_HYPH proposed_VBN /_SYM main_JJ amd64_NNP linux_NN -_HYPH aws_IN -_HYPH tools-4.4.0_NNS -_SYM 1018_CD amd64_NNP 4.4.0_CD -_HYPH 1018.27_CD [_-LRB- 698_CD kB_NNP ]_-RRB- \n_ Get:2_NNP http://de.archive.ubuntu.com/ubuntu_NNP xenial_NN -_HYPH proposed_VBN /_SYM main_JJ amd64_NNP linux_NN -_HYPH tools-4.4.0_NN -_HYPH 1018-aws_CD amd64_NNP 4.4.0_CD -_HYPH 1018.27_CD [_-LRB- 2598_CD B_NNP ]_-RRB- \n_ Get:3_NNP http://de.archive.ubuntu.com/ubuntu_NN xenial_NN -_HYPH proposed_VBN /_SYM main_JJ amd64_NNP linux_NN -_HYPH tools_NNS -_HYPH aws_NNS amd64_NNP 4.4.0.1018.21_CD [_-LRB- 2278_CD B_NNP ]_-RRB- \n_ Fetched_NNP 703_CD kB_NNP in_IN 0s_CD (_-LRB- 1891_CD kB_NNP /_SYM s_NN )_-RRB- \n_ Selecting_VBG previously_RB unselected_JJ package_NN linux_NN -_HYPH aws_IN -_HYPH tools-4.4.0_NN -_SYM 1018_CD ._.','irrelevant'
' (_-LRB- Reading_NN database_NN ..._: 70289_CD files_NNS and_CC directories_NNS currently_RB installed_VBN ._. )_-RRB-','irrelevant'
' Preparing_VBG to_IN unpack_VB ..._NFP /linux_SYM -_HYPH aws_IN -_HYPH tools-4.4.0_JJ -_HYPH 1018_4.4.0_CD -_HYPH 1018.27_amd64.deb_CD ..._: \n_ Unpacking_NNP linux_NN -_HYPH aws_IN -_HYPH tools-4.4.0_NN -_HYPH 1018_CD (_-LRB- 4.4.0_CD -_SYM 1018.27_CD )_-RRB- ..._.','irrelevant'
' Selecting_VBG previously_RB unselected_JJ package_NN linux_NN -_HYPH tools-4.4.0_NN -_HYPH 1018-aws_CD ._.','irrelevant'
' Preparing_VBG to_IN unpack_VB ..._NFP /linux_SYM -_: tools-_NN ..._NFP','irrelevant'
